Entry Point,Month,Value,Year,Category,Region,Conservation Area,Visitors,Metric,English_Year,Group,Count,Type,Hotel_Type,Hotel_Count,Bed_Count,Types of Course,Details,Third Country,Indian,% Change,Gender,Age_Group,Total,Nationality,Percent
,,76865,1994,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,23522,1994,Business,,,,,,,,,,,,,,,,,,,,,
,,5475,1994,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,20431,1994,Official,,,,,,,,,,,,,,,,,,,,,
,,5361,1994,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,26722,1994,Others,,,,,,,,,,,,,,,,,,,,,
,,0,1994,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,183207,1995,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,84787,1995,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,21829,1995,Business,,,,,,,,,,,,,,,,,,,,,
,,5257,1995,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,20090,1995,Official,,,,,,,,,,,,,,,,,,,,,
,,5272,1995,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,42953,1995,Others,,,,,,,,,,,,,,,,,,,,,
,,0,1995,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,209377,1996,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,88945,1996,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,25079,1996,Business,,,,,,,,,,,,,,,,,,,,,
,,4802,1996,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,20191,1996,Official,,,,,,,,,,,,,,,,,,,,,
,,6054,1996,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,39165,1996,Others,,,,,,,,,,,,,,,,,,,,,
,,0,1996,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,249360,1997,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,91525,1997,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,27409,1997,Business,,,,,,,,,,,,,,,,,,,,,
,,4068,1997,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,24106,1997,Official,,,,,,,,,,,,,,,,,,,,,
,,5824,1997,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,19565,1997,Others,,,,,,,,,,,,,,,,,,,,,
,,0,1997,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,261347,1998,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,112644,1998,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,24954,1998,Business,,,,,,,,,,,,,,,,,,,,,
,,16164,1998,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,22123,1998,Official,,,,,,,,,,,,,,,,,,,,,
,,5181,1998,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,21271,1998,Others,,,,,,,,,,,,,,,,,,,,,
,,0,1998,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,290862,1999,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,107960,1999,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,23813,1999,Business,,,,,,,,,,,,,,,,,,,,,
,,19198,1999,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,24132,1999,Official,,,,,,,,,,,,,,,,,,,,,
,,5965,1999,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,19574,1999,Others,,,,,,,,,,,,,,,,,,,,,
,,0,1999,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,255889,2000,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,118780,2000,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,29454,2000,Business,,,,,,,,,,,,,,,,,,,,,
,,15801,2000,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,20832,2000,Official,,,,,,,,,,,,,,,,,,,,,
,,5599,2000,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,17291,2000,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2000,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,187022,2001,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,100828,2001,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,18528,2001,Business,,,,,,,,,,,,,,,,,,,,,
,,13816,2001,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,18727,2001,Official,,,,,,,,,,,,,,,,,,,,,
,,0,2001,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,22316,2001,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2001,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,110143,2002,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,59279,2002,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,16990,2002,Business,,,,,,,,,,,,,,,,,,,,,
,,12366,2002,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
